code,array
A11,"['鹽田區', '鹽田區', '鹽']"
A12,"['魚塭區', '魚塭區', '魚']"
A13,"['海岸發展區', '水岸發展區', '水']"
A14,"['河川區兼供綠地使用', '河(園)', '河川區兼作園道使用', '河川區兼供人行步道使用', '河川區', '河(捷)', '河川區兼供捷運設施使用', '河川區兼供快速道路使用', '河(自)', '河(停)', '河(綠)', '河川區兼供高速公路使用', '河川區兼供停車場使用', '河', '河川區兼供自來水事業使用', '河川區兼供公園兼兒童遊樂場使用', '河(人)', '河(公兒)', '河(高)', '河(道)', '河(快)', '河川區兼供道路使用']"
A15,"['行水區', '行水區兼供道路使用', '行水(道)', '行水']"
A16,"['海禁', '湖泊', '海域', '水域', '海域禁制區', '湖泊區']"
A17,"['倉庫區', '倉庫區', '倉']"
A18,"['倉儲區', '儲', '貨倉', '貨櫃倉儲區']"
A19,"['葬儀業區', '葬儀業區', '殯']"
A20,"['第一種風景區', '風一', '風三', '甲之一種風景區', '甲風一', '甲風', '第二種風景區', '第四種風景區', '甲之四種風景區', '第三種風景區', '甲種風景區', '甲風三', '風景區', '丙種風景區', '乙風', '風四', '風二', '甲之三種風景區', '丙風', '甲風二', '風', '甲風四', '甲之二種風景區', '乙種風景區']"
A21,"['露', '野營區', '露營區', '野營']"
A22,"['野餐區', '野餐區', '野']"
A23,"['岩景', '海底景觀區', '海景', '岩石景觀區', '自然景觀區', '海岸景觀區', '景觀', '景觀區', '自景']"
A24,"['眺望區', '眺望區', '眺']"
A25,"['青活', '青年活動中心區', '活', '活動區', '青年活動區', '綜合活動中心區', '綜活', '青年活動營區']"
A26,"['第一種別墅區', '墅一', '休墅', '第三種別墅區', '出租別墅區', '墅', '休閒別墅區', '第二種別墅區', '墅三', '旅墅', '別墅區', '出租別墅與汽車旅館區', '墅(旅)', '旅館別墅區', '墅二']"
A27,"['青旅(國)', '旅館區', '丙旅', '第二種旅館區', '乙旅', '丙種旅館區', '甲種旅館區', '旅一', '旅三', '國民旅社區', '觀旅', '國家公園區旅館用地', '甲旅', '旅二', '第一種旅館區', '乙種旅館區', '丁種旅館區', '第三種旅館區', '丁旅', '旅', '觀光旅館區', '國旅', '青年自助旅社與國民旅社區']"
A28,"['憩三', '綜憩', '灣域遊憩區', '觀憩', '休憩', '濱憩', '戶外休閒區', '綜合遊憩區', '森憩', '第三種遊憩區', '第二種遊憩區', '憩二', '海域遊憩區', '灣憩', '海憩', '觀光遊憩區', '憩一', '生態休閒渡假區', '近岸遊憩區', '海休', '岸憩', '憩', '遊憩區', '海濱遊憩區', '濱海遊憩區', '休閒遊憩區', '森林遊憩區', '海景休閒渡假區', '戶外休閒', '第一種遊憩區', '生休']"
A29,"['沙遊', '沙灘遊樂區', '產遊', '戲水區', '水遊', '湖遊', '遊', '湖上遊樂區', '水域遊樂區', '海洋遊樂區', '產業遊樂區', '海域遊樂區', '遊樂區', '甲種遊樂區', '甲遊', '乙遊', '娛', '濱遊', '濱海遊樂區', '森遊', '戲水', '乙種遊樂區', '海遊', '森林遊樂區', '娛樂區']"
A30,"['海濱浴場區', '海濱浴場區', '浴']"
A31,"['觀光農場區', '觀光農場區', '觀農']"
A32,"['動植物園區', '植物園區', '動物園', '鳥園', '植物園', '動植物園', '鳥園區', '動物園區']"
A33,"['營區', '營區', '營區']"
A34,"['林業區', '林業區', '林']"
A35,"['溫泉露頭區', '溫泉區', '浴', '海底溫泉', '露天溫泉浴區', '露天溫泉', '海底溫泉區', '大眾浴池區', '溫泉']"
A36,"['第一種遊憩服務設施區', '遊服二', '旅服', '旅服中心', '園區服務區', '園區服務', '遊服一', '第二種遊憩服務設施區', '遊憩服務設施區', '服務區', '管理及服務區', '通關服務', '服', '旅遊服務區', '通關服務區', '旅遊服務設施區', '管理服務', '旅遊服務中心區', '遊服']"
A37,"['國家公園區', '國家公園區', '國家公園']"
A38,"['防風林區', '防風林區', '防風林']"
A99,"['國家公園', '暫予保留範圍區', '安養中心區', '土壤污染管制區', '暫留', '安養中心', '國家公園區', '交通中心', '運輸中心', '交通中心區', '土污管制', '其他使用分區']"
B01,"['仁愛之家專用區', '自然村專用區', '自專', '駐華使領館辦公暨住宅專用區', '使館住專', '敦化專用區B', '國民住宅專用區', '仁愛之家專', '生態住宅專用區', '敦化南北路特定專用區(B區)', '特定住宅專用區', '國宅專', '住專', '生住專', '國宅用地', '國宅區']"
B02,"['觀光藝文商業專用區', '金服專', '特貿專四', '第一種特定經貿核心專用區', '特定休閒商業專用區', '商專二', '金融資訊專用區', '文化商業專用區', '環南特定專用區', '第六種特定經貿核心專用區', '經貿專用區', '特貿專六', '特貿專五', '觀商專', '複合商業專用區', '會展特定專用區', '商務專用區', '第三種特定經貿核心專用區', '金資專', '經貿專', '第一種特定商業專用區', '購專', '大型購物中心專用區', '文化觀光專用區', '文觀專', '商專', '工商綜合專用區', '休商專', '科技商務專用區', '特定經貿核心專用區', '圓專', '特定觀光商業專用區', '敦化專用區A', '工商專', '果合專', '特定商業專用區', '環南專', '購物中心專用區', '特貿專一', '會專', '第四種特定經貿核心專用區', '第五種特定經貿核心專用區', '商務產業專用區', '第二種特定經貿核心專用區', '複商專', '第二種特定商業專用區', '特貿專三', '商產專', '敦化南北路特定專用區(A區)', '圓環專用區', '第三種特定商業專用區', '特貿專二', '青果合作社專用區', '文商專', '商專三', '科商專', '金融服務專用區', '商專一']"
B03,"['第一種電信專用區', '事業專用', '菸酒事業專用區', '漁會專', '事業專用區', '電廠專用區', '旅遊事業專用區', '創研二', '電力事業專用區', '第一種創新研發專用區', '公用及公益事業特定專用區', '第二種創新研發專用區', '水利會專用區', '航專', '廣電專', '航專(道)', '電信事業專用區', '旅專', '廣播電台專用區', '郵專', '特定目的事業專用區', '特定事業專用區', '電台專', '水利會專', '航空事業專用區兼供道路使用', '航空事業專用區', '漁會專用區', '交專', '電力專用區', '電信專', '電台專用區', '電信專一', '自專', '電力專', '電信專用區', '菸專', '創研一', '農會專用區', '電信專二', '電廠專', '交通事業專用區', '農會專', '自來水事業專用區', '廣電事業專用區', '郵政事業專用區', '觀專', '第二種電信專用區', '郵政專用區', '觀光事業專用區', '益專']"
B04,"['特定工業專用區', '特定事業專用區(工業)', '貨運及貨物加值專用區', '倉轉專三', '貨轉專', '第二種園區事業專用區', '貨物轉運專用區', '再生能源相關設施專用區', '園區事業專用區', '工業事業專用區', '倉儲批發專用區', '園專一', '第二種特定倉儲轉運專用區', '倉轉專一', '倉轉專二', '特工專', '園專二', '特定倉儲轉運專用區', '貨運專', '園專', '倉儲批發零售專用區', '工專', '再生專', '加工出口專用區', '倉轉專', '貨專', '第一種園區事業專用區', '貨運集散專用區', '加專', '倉批專', '第一種特定倉儲轉運專用區', '第三種特定倉儲轉運專用區']"
B05,"['瓦斯專用區', '石油事業專用區', '儲氣專', '液化天然氣專用區', '油氣事業專用區', '氣專', '天然氣儲氣專用區', '天然氣事業專用區', '天然氣設施專用區', '天然氣儲氣槽設施專用區', '瓦斯事業專用區', '瓦專', '石油專用區', '特定事業專用區(油氣)', '油專', '石油專用']"
B06,"['水利事業專用區', '水利專用區', '特定事業專用區(水利)', '水利專', '水利設施專用區']"
B07,"['產交專', '產業專用區', '研策專', '產業交流專用區', '汽修專', '酒專', '汽車保養專用區', '文產專', '科技產業專用區', '創設專', '觀光休閒產業專用區', '產專', '產一', '創意設計園區專用區', '研發策略產業專用區', '花卉文化產業專用區', '花產專', '土專', '汽車駕訓專用區', '科專', '特定產業專用區', '土石採取專用區', '生技專', '休閒產業專用區', '汽車修理專用區', '汽保專', '酒廠專用區', '資產專', '第二種特定產業專用區', '資訊產業專用區', '第一種特定產業專用區', '研產專', '產二', '原住民產業專用區', '媒專', '觀產專', '文化產業專用區', '休閒專', '汽駕專', '原產專', '新聞媒體專用區', '生物科技產業專用區']"
B08,"['國服專', '休服專', '園區服務專用區', '生活服務專用區', '科技商務服務專用區', '航空客運服務專用區', '航服專', '第一種園區服務專用區', '休閒服務專用區', '產服專', '旅服專', '研究服務專用區', '園服專一', '服專', '特定服務專用區', '園服專', '園服專二', '生服專', '國際事務及公共服務特定專用區', '研服專', '第二種園區服務專用區', '旅遊服務專用區', '產業服務專用區', '科服專']"
B09,"['公用專', '變電所專用區', '電磁專', '污專', '電磁波專用區', '瓦斯專', '公用事業專用區', '瓦斯減壓站專用區', '塔專', '變專', '環保設施專用區', '天線電塔專用區', '環專', '污水處理專用區']"
B10,"['山文專', '山地文化專用區', '林文專', '藝術文化專用區', '養生文化專用區', '文化景觀專用區', '文化專用區', '眷村風貌特定專用區', '創文專', '眷專', '史聚專', '創意文化專用區', '糖文專', '特定文化專用區', '林業文化專用區', '文專', '糖業文化專用區', '社教專', '文景專', '社教專用區', '水文專', '歷史聚落專用區', '文社專', '原住民文化專用區', '文特', '史貌專', '文化特定專用區', '藝文專', '水源地文化專用區', '文化社教專用區', '歷史風貌專用區', '原專', '博館專', '博物館專用區', '養文專']"
B11,"['農業專用區', '農研專', '農業科技專用區', '糧專', '休閒農業專用區', '農業研發專用區', '休農專', '農專', '菜宅專用區', '糧倉專用區', '農科專', '菜專']"
B12,"['林業專用區', '林業專用區', '林專']"
B13,"['觀光漁業專用區', '漁業專用區', '漁專', '休漁專', '觀漁專', '漁業養殖專用區', '休閒漁業專用區']"
B14,"['鹽業專用區', '鹽業專用區', '鹽專']"
B15,"['醫療專用區', '醫院專用區', '第三種醫療專用區', '醫專三', '醫護特定專用區', '醫專', '第一種醫療專用區', '戶外復建訓練專用區', '醫護專', '醫專二', '醫設專', '醫專一', '醫院專', '醫療設施專用區', '復建專', '第二種醫療專用區']"
B16,"['新市政中心專用區', '行政專用區', '新市政專', '行政專']"
B17,"['使館專用區', '使館專用區', '使專']"
B18,"['宗專二', '寺廟專用區', '宗教專用區', '宗專', '宗活專', '宗專一', '宗教活動專用區', '第二種宗教專用區', '寺專', '第一種宗教專用區']"
B19,"['殘教專', '兒童教養專用區', '社福專', '安養中心專用區', '老人安養專用區', '啟智中心專用區', '殘障教養機構專用區', '社會福利設施專用區', '啟智專', '社會福利事業專用區', '安養專', '兒教專', '社會福利專用區']"
B20,"['車站專用區兼供道路使用', '客站專', '車站專', '車站專用區', '客運車站專用區', '捷運車站專用區', '車站專(道)', '高鐵車站專用區', '高站專', '捷站專']"
B21,"['民用航空專用區', '民用航空專用區', '航專']"
B22,"['漁港專', '遊艇港專用區', '港埠專用區兼供排水使用', '漁港專用區', '遊港專', '港專(排)', '港埠專用區', '港專']"
B23,"['加油站專用區', '油專', '氣專', '加氣站專用區']"
B24,"['油庫專', '油庫專用區', '油庫專一', '油庫專二', '第二種油庫專用區', '第一種油庫專用區']"
B25,"['第二種風景專用區', '風專一', '第一種風景專用區', '風景專用區', '風專二', '風專']"
B26,"['第五種特定文化休閒專用區', '自行車', '自行車專用區', '高球專', '文休專五', '運休專', '溫泉專', '文休專三', '第一種特定文化休閒專用區', '溫泉度假專用區', '休旅專', '運動休閒專用區', '文休專二', '觀光文化遊憩專用區', '第四種特定文化休閒專用區', '休閒旅遊專用區', '第二種特定文化休閒專用區', '特定文化休閒專用區', '休專', '健休專', '文休專一', '文休專', '文休專四', '休閒專用區', '文遊專', '健康休閒專用區', '高爾夫球場專用區', '第三種特定文化休閒專用區']"
B27,"['都會公園專用區', '都會公園專用區', '都會公園專']"
B28,"['水庫專(道)', '水庫專用區', '水庫專用區兼供道路使用', '水庫專']"
B29,"['堤防專用區', '海堤專', '海堤專用區', '堤專']"
B30,"['溝渠專用區', '溝渠專用區', '溝專']"
B31,"['溫泉專用區', '溫泉專用區', '溫泉專']"
B32,"['灌溉設施專用區', '灌專', '灌溉溝渠專用區']"
B33,"['殯葬專用區', '殯葬設施專用區', '火葬專', '火葬場專用區', '殯專']"
B34,"['屠宰專用區', '屠宰專用區', '屠專']"
B35,"['糖研所專', '研究專用區', '食研所專', '研專', '食品工業研究所專用區', '台糖公司研究所專用區']"
B36,"['特定公用設施專用區', '特定公用設施專用區', '公設專']"
B37,"['納骨塔專用區', '納骨塔專', '墳墓專用區', '墳專']"
B38,"['閩南建築專用區', '臺中州廳專用區', '存專', '傳建專', '閩建專', '聚落風貌保存專用區', '州廳專', '傳統建築專用區', '聚落專', '保存專用區']"
B39,"['新市政中心專用區', '第五種新市政中心專用區', '第一種新市政中心專用區', '第七種新市政中心專用區', '第三種新市政中心專用區', '新', '新二', '中心專用區', '新八', '第四種新市政中心專用區', '新五', '第八種新市政中心專用區', '新一', '新七', '中心', '第六種新市政中心專用區', '第二種新市政中心專用區', '新四', '新三', '新六']"
B40,"['旅館專用區', '旅館專用區', '旅專']"
B41,"['影視音產業專用區', '影視音產業區', '影']"
B99,"['停專', '機場邊緣特定專用區', '河濱專', '停車場專用區', '機場邊緣專', '河濱專用區', '其他專用區', '其他專用']"
C01,"['公園用地兼供水資源回收設施用地', '公園兼兒童遊樂場用地', '公園兼自來水設施用地', '公(污)', '公(調)', '公(綠)', '公(兒排)', '運動公園用地', '公(水資)', '公園兼滯洪池用地', '公(廣)', '公園用地兼河道使用', '公園用地兼供道路使用', '公(道)', '公(兒)', '鄰里公園用地', '運公', '河濱公園用地', '公(自)', '都會公園用地', '濱公', '森林公園用地', '森公', '公(體)', '公園用地兼作調節池使用', '公園兼廣場用地', '公園用地兼遺址保存用地', '公(河)', '公(池)', '鄰里公園用地兼作兒童遊樂場使用', '自公', '自然公園用地', '公園兼兒童遊戲場用地', '公園用地', '公(排)', '都公', '公園兼兒童遊戲場用地兼供排水使用', '公園兼綠帶', '公(遺址)', '公園兼體育場用地', '公園兼綠地', '公園用地兼供排水使用', '公園兼污水處理廠用地']"
C02,"['綠地兼供道路使用', '綠地兼供溝渠使用', '綠(捷)', '綠地', '綠(道)', '綠帶', '綠地兼供高速公路使用', '綠道', '綠(溝)', '綠園道', '綠(高)', '綠地兼兒童遊樂場', '綠地兼環保設施用地', '綠', '綠(污)', '綠地兼供人行步道使用', '綠地兼供鐵路使用', '綠地兼供捷運系統使用', '生態綠地', '綠地兼污水處理廠用地', '綠(人)', '綠(兒)', '綠(排)', '綠(環)', '綠(鐵)', '綠地綠帶', '綠地兼作排水道使用']"
C03,"['兒童遊戲場用地', '兒童遊樂場用地', '兒(道)', '兒童遊樂場用地兼供道路使用', '兒']"
C04,"['體(公)', '體育場兼公園用地', '體育場用地', '體(道)', '運動場用地', '綜合體育場用地', '體', '游泳池用地', '游', '體育場所用地', '綜合運動場用地', '運動中心', '高爾夫', '體育場用地兼供道路使用', '高爾夫球場用地', '市民運動中心用地', '體育館用地']"
C05,"['廣(溝)', '廣場兼捷運系統用地', '廣場兼作污水處理場使用', '廣場兼兒童遊樂場用地', '廣(停)', '廣場用地', '廣(捷)', '廣(車)', '廣場兼作服務中心使用', '廣場兼供自行車道用地', '廣(停排)', '廣', '廣場兼停車場用地', '廣(自)', '廣(污)', '廣(服)', '廣場兼供溝渠使用', '廣場兼車站用地', '廣場兼停車場兼供排水使用', '廣(兒)', '廣場兼道路用地', '廣場兼供道路使用', '廣(道)']"
C06,"['批(零)', '市場用地兼供批發市場使用', '零售市場用地', '漁市場用地', '魚市', '果菜批發市場用地', '批發市場用地', '市場用地', '市(批)', '批發市場兼零售市場用地', '零', '果菜市場用地', '果', '批', '果批', '市']"
C07,"['環保兼垃圾處理場用地', '貯氣槽', '下水(抽)', '垃圾焚化爐用地', '下水(溝)', '核電', '變電所用地', '液化天然氣設施用地', '垃圾處理廠兼道路用地', '配氣站', '土石', '液', '發電', '煤', '油庫', '垃圾掩埋場用地', '垃圾處理廠用地', '輸送帶用地', '下水道用地兼供道路使用', '輸送帶', '國家公園區污水處理用地', '下水道用地', '電纜管路用地', '污水抽水站用地', '公用', '污', '變電所用地兼供道路使用', '污水處理場用地兼供抽水站使用', '環保', '污(道)', '垃圾掩埋廠用地', '下水(抽道)', '瓦斯站', '變', '瓦斯加壓站用地', '油', '污(抽)', '下水(截)', '廢棄物處理場用地', '污水處理廠用地兼供道路使用', '下水道用地兼供抽水站及道路使用', '電管', '屠', '煤氣廠用地', '核電廠用地', '土石方資源堆置場用地', '產業支援設施用地', '瓦(壓)', '煤氣公用事業用地', '產業支援', '儲油設施用地', '環保設施用地', '廢', '加壓站用地', '下水', '油庫用地', '發電廠用地', '環保用地', '下水道用地兼供抽水站使用', '垃', '環保(垃)', '貯氣槽用地', '加壓站', '變(道)', '自來水及瓦斯用地', '下水(道)', '下水道用地兼溝渠用地', '瓦斯站用地', '公用事業用地', '屠宰場用地', '水瓦', '配氣站用地', '垃圾處理場兼道路用地', '污水處理廠用地', '垃圾處理場用地', '下水道用地兼供截流站使用', '污水加壓站用地', '污水處理場用地', '垃(道)']"
C08,"['殯儀館用地', '火葬場用地', '殯', '火', '殯葬設施用地', '火化場用地']"
C09,"['納骨塔用地', '公墓用地', '軍人公墓用地', '墳墓用地', '墓', '骨']"
C10,"['捷(鐵)', '捷(公)', '捷(機)', '交廣', '交通用地兼供道路使用', '交通用地兼廣場用地', '國家公園區交通用地', '公車調度站', '交通用地兼綠地', '捷運設施用地', '捷運系統用地', '捷(廣)', '捷運系統用地兼供排水使用', '橋樑用地', '捷(排)', '捷(人)', '交通事業用地', '捷運系統用地兼作鐵路使用', '捷廠', '捷運系統用地兼供人行步道使用', '捷', '交(綠)', '捷(停)', '捷運系統用地兼供機關使用', '捷運系統用地兼供停車場用地', '隧', '隧道用地', '交', '捷運系統用地兼作廣場使用', '公車調度站用地', '捷運機廠用地', '交(廣)', '交通用地', '捷(道)', '交(道)', '捷運系統用地兼供公園使用', '橋', '交通廣場用地', '捷運系統用地兼供道路使用']"
C11,"['道(水)', '計畫道路', '道路用地兼供捷運系統使用', '道路兼河道用地', '道(河)', '道(鐵)', '道(堤)', '自行車道用地', '道路兼堤防用地', '道路用地兼供水溝使用', '賞蝶道', '道(園道)', '道路兼廣場用地', '景觀道路用地', '道路兼高速公路用地', '道路用地兼供水利設施使用', '道路用地兼供快速公路使用', '道路用地兼供溝渠使用', '道路用地兼河川區', '道(經)', '道路用地', '賞蝶道路用地', '道路用地兼供高速公路使用', '道路用地兼供排水使用', '道(捷)', '景觀道路', '道(廣)', '道路用地兼供經貿服務設施使用', '道路兼鐵路用地', '道(排)', '道路用地兼供園道使用', '道(高)', '道(停)', '道路兼停車場用地', '道路用地兼供河川使用', '道(快)', '自行車道', '道路用地兼供鐵路使用', '道(溝)']"
C12,"['快速公路用地', '高速公路用地兼供人行步道使用', '快速公路用地兼供鐵路使用', '快速公路用地兼供道路使用', '快速公路用地兼高速公路用地', '高速公路用地兼供公園使用', '高公(鐵道)', '高速公路用地兼供捷運系統使用', '快(溝)', '高速公路用地兼供公園兼兒童遊樂場使用', '快速公路用地兼供河川區使用', '高速公路用地兼供水利使用', '高公(公)', '高速公路兼鐵路用地', '快(鐵)', '高速公路用地兼供道路使用', '快', '快(道)', '高速公路用地', '高公(人)', '快速公路用地兼供溝渠使用', '高公(抽)', '高(快)速公路用地', '高公', '高公(公兒)', '高速公路用地兼供鐵路使用', '高公(鐵)', '高公(水)', '高公(高鐵)', '高速公路用地兼供抽水站使用', '高公(道)', '快速公路用地兼道路用地', '高速公路用地兼供高速鐵路使用', '高公(捷)', '高速公路用地兼供鐵路兼道路使用', '快(高)', '快(河)']"
C13,"['園道用地兼供鐵路使用', '園道', '園道(溝)', '園道用地兼供溝渠使用', '園道(排道)', '園道用地兼供河道使用', '園道用地', '園道(鐵)', '園道(河)', '園道用地兼供排水及道路使用']"
C14,"['人行步道用地', '人行步道兼廣場用地', '景觀步道用地', '人(廣)', '人(排)', '人', '人行步道用地兼供排水使用', '綠化步道用地']"
C15,"['高速鐵路用地兼供道路使用', '觀鐵(道)', '鐵(道)', '鐵路用地兼供高速公路使用', '鐵(塔)', '觀光鐵道用地', '高速鐵路用地', '鐵(高)', '高速鐵路用地兼供公園使用', '鐵路用地兼供電路電塔使用', '觀鐵', '鐵路用地', '台糖鐵路用地', '高鐵(公)', '觀光鐵道用地兼供道路使用', '高鐵', '鐵路用地兼供道路使用', '鐵(社)', '高鐵(道)', '鐵路用地兼供排水使用', '鐵路用地兼供河川使用', '高速鐵路用地兼供園道使用', '糖鐵', '鐵路用地兼供公園使用', '鐵(排)', '鐵路用地兼供社教機構使用', '高鐵(園道)', '鐵(公)', '鐵(河)', '鐵']"
C16,"['停車場兼廣場用地', '站場', '櫃停', '停車場兼供電影文化中心使用', '貨櫃停車場用地', '停車場用地兼供道路使用', '停車場用地', '停(文化中心)', '停(道)', '站場用地', '停', '停(廣)']"
C17,"['加油站用地', '加油站用地', '油']"
C18,"['車站(旅)', '大眾運輸轉運站用地', '捷運車站', '轉運站', '公路車站用地', '車站用地兼供旅遊服務中心使用', '捷運車站用地兼供道路使用', '車站', '車站兼捷運系統用地', '公路車站', '捷運車站用地', '捷運車站(道)', '車站兼道路用地', '客運車站用地', '纜車站', '車站(捷)', '車站用地', '纜車站用地', '客運車站', '車站(道)']"
C19,"['堤防碼頭用地', '碼頭', '船站用地', '遊艇碼頭', '漁港', '港', '港埠用地', '船站', '碼頭用地', '漁港用地', '遊艇碼頭用地']"
C20,"['航', '民用航空站用地', '航空站用地', '機場用地']"
